,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,29752,"Chicago, IL 60647",Not locked,Bike was not locked,2014.8.11,Reported
1,29788,"Indianapolis, IN 46203",Not locked,None,2014.8.11,None
2,32960,"Nashville, TN 37209",None,None,2014.8.11,None
3,30066,"Bethesda, MD 20814",Cable lock,"Lock was cut, and left at the scene.",2014.8.11,Reported
4,29760,"San Diego, CA 92122",Not locked,"Other situation, please describe below.",2014.8.11,Reported
5,29889,"Chula Vista, CA 91911",Not locked,Bike was not locked,2014.8.11,Reported
6,29753,"Chicago, IL 60647",Not locked,Bike was not locked,2014.8.11,Reported
7,29745,"Washington, WA",Cable lock,"Lock is missing, along with the bike.",2014.8.11,None
8,29817,"Piedmont, CA 94611",U-lock and cable,"Lock is missing, along with the bike.",2014.8.11,Reported
9,30475,"Portland, OR 97211",Not locked,Bike was not locked,2014.8.11,Reported
0,29783,"Casselberry, FL 32707",None,None,2014.8.11,None
1,29884,"San Diego, CA 92116",U-lock,Bike was not locked,2014.8.11,Reported
2,29807,"Seattle, WA 98107",Cable lock,"Other situation, please describe below.",2014.8.11,Reported
3,29767,"Houston, TX 77006",Not locked,Bike was not locked,2014.8.11,Reported
4,29806,"Tualatin, OR 97062",U-lock,Bike was not locked,2014.8.11,Reported
5,29787,"Portland, OR 97212",None,"Other situation, please describe below.",2014.8.11,Reported
6,29785,"Columbus, OH 43204",Other,"Other situation, please describe below.",2014.8.10,None
7,54271,"Seattle, WA 98109",None,None,2014.8.10,Reported
8,29739,"San Francisco, CA 94118",Cable lock,"Lock is missing, along with the bike.",2014.8.10,Reported
9,29792,"San Diego, CA 92101",U-lock and cable,"Lock was cut, and left at the scene.",2014.8.10,Reported
0,29860,"Amarillo, TX 79106",Cable lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2014.8.10,Reported
1,29706,"Auburn, WA 98002",Heavy duty bicycle security chain,"Lock is missing, along with the bike.",2014.8.10,Reported
2,30105,"Seattle, WA 98101",Other,None,2014.8.10,Reported
3,29773,"Brooklyn, NY 11211",Cable lock,"Lock was cut, and left at the scene.",2014.8.10,None
4,29709,"Berkeley, CA 94708",U-lock,Bike was not locked,2014.8.10,Reported
5,29699,"Portland, OR 97215",Not locked,None,2014.8.10,Reported
6,29805,"Portland, OR 97212",U-lock and cable,"Lock was cut, and left at the scene.",2014.8.10,None
