,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,91416,"Tucson, AZ 85745",None,None,2016.8.16,Reported
1,91262,"Denver, CO 80203",None,None,2016.8.16,None
2,91127,"Seattle, WA 98199",None,None,2016.8.15,None
3,91118,"Omaha, NE 68106",None,None,2016.8.15,None
4,91103,"Ann Arbor, MI 48104",None,None,2016.8.15,None
5,91082,"Portland, OR 97213",None,None,2016.8.15,None
6,91204,"Buffalo, NY 14228",Not locked,None,2016.8.15,None
0,96196,"New Orleans, LA 70118",None,None,2016.8.15,None
1,91144,"Seattle, WA 98107",Not locked,None,2016.8.15,None
2,91313,"San Francisco, CA 94117",U-lock,"Lock was cut, and left at the scene.",2016.8.15,Reported
3,91104,"Maplewood, MN 55109",Not locked,"Lock is missing, along with the bike.",2016.8.15,Reported
4,91379,"Duluth, GA 30096",None,None,2016.8.15,Reported
5,91468,"Minot, ND 58703",None,None,2016.8.15,None
6,99527,"Oakland, CA 94610",Not locked,"Other situation, please describe below.",2016.8.15,Reported
7,92188,"San Francisco, CA 94133",Cable lock,"Lock was cut, and left at the scene.",2016.8.15,Reported
8,91236,"Tucson, AZ 85713",Not locked,Bike was not locked,2016.8.15,Reported
0,91325,"Portland, OR 97205",None,None,2016.8.15,Reported
1,91213,"Boulder, CO 80305",Chain with padlock,"Lock was cut, and left at the scene.",2016.8.15,Reported
2,91755,"Eudora, KS 66025",None,None,2016.8.15,Reported
3,95267,"Seattle, WA 98101",Cable lock,"Lock was cut, and left at the scene.",2016.8.15,Reported
4,59805,"Seattle, WA 98122",U-lock and cable,"Lock was cut, and left at the scene.",2016.8.15,Reported
5,91132,"Brooklyn, NY 11234",Not locked,"Other situation, please describe below.",2016.8.15,None
6,91162,"Seattle, WA 98122",Chain with padlock,"Lock was cut, and left at the scene.",2016.8.15,Reported
7,318646,"New Orleans, LA 70114",None,None,2016.8.15,None
8,91818,"San Francisco, CA 94109",U-lock and cable,"Lock is missing, along with the bike.",2016.8.15,Reported
