,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,88591,"Brooklyn, NY 11221",None,None,2016.7.30,None
1,862824,"Cambridge, WI 53523",None,None,2016.7.30,Reported
2,88553,"Portland, OR 97232",None,None,2016.7.30,None
3,88549,"Santa Rosa, CA 95404",None,None,2016.7.30,None
4,89038,"Mackinac Island, MI",None,None,2016.7.30,None
5,88577,"Helena, MT 59601",Cable lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2016.7.30,Reported
6,88556,"Bethlehem, PA 18017",None,None,2016.7.30,None
7,88587,"Denver, CO",Cable lock,"Lock is missing, along with the bike.",2016.7.30,None
0,88585,"San Francisco, CA 94102",Cable lock,"Lock was cut, and left at the scene.",2016.7.30,Reported
1,88626,"San Francisco, CA 94109",U-lock and cable,"Lock was cut, and left at the scene.",2016.7.30,Reported
2,88624,"Columbus, OH 43215",Cable lock,"Lock is missing, along with the bike.",2016.7.30,None
3,88694,"Buffalo, NY 14202",Cable lock,"Lock was cut, and left at the scene.",2016.7.30,Reported
4,88697,"Buffalo, NY 14202",Cable lock,"Lock was cut, and left at the scene.",2016.7.30,Reported
5,88756,"Washington, DC 20007",Cable lock,"Lock was cut, and left at the scene.",2016.7.30,Reported
6,88758,"Berkeley, CA 94702",None,None,2016.7.30,Reported
7,88750,"Tucson, AZ 85704",None,None,2016.7.30,Reported
8,88866,"Spokane, WA 99224",Not locked,None,2016.7.30,Reported
9,88893,"Bozeman, MT",Cable lock,"Lock was cut, and left at the scene.",2016.7.30,None
0,93768,"Columbus, OH 43201",Cable lock,"Lock is missing, along with the bike.",2016.7.30,None
1,88889,"Brooklyn, NY 11237-5436",U-lock and cable,"Lock is missing, along with the bike.",2016.7.30,Reported
2,88598,"Denver, CO",Other,"Lock is missing, along with the bike.",2016.7.30,Reported
3,88594,"San Francisco, CA 94114",Not locked,None,2016.7.30,None
4,88550,"Portland, OR 97232",Cable lock,"Lock is missing, along with the bike.",2016.7.30,None
5,111103,"Sacramento, CA 95820",None,None,2016.7.30,None
6,88584,"Seattle, WA 98109",U-lock,"Lock was cut, and left at the scene.",2016.7.30,Reported
7,88834,"Seattle, WA 98126",None,None,2016.7.30,Reported
8,88809,"Cleveland, OH 44113",None,None,2016.7.30,None
0,88864,"Glendale, WI 53209",Other,None,2016.7.30,None
1,88749,"Atlanta, GA 30326",Cable lock,"Lock was cut, and left at the scene.",2016.7.30,Reported
2,88877,"Portland, OR 97218",None,None,2016.7.30,Reported
3,88630,"Hillsboro, OR 97123",Chain with padlock,None,2016.7.30,None
4,88912,"New Orleans, LA",None,None,2016.7.30,Reported
