,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,19960,"Portland, OR",None,None,2010.9.25,None
1,17586,"Portland, OR 97214",None,None,2010.9.25,Reported
2,20290,"Oceanside, CA 92056",None,None,2010.9.25,None
3,20286,"Denver, CO 80210",None,None,2010.9.25,Reported
4,19961,"Austin, TX 78744",None,None,2010.9.25,Reported
5,15079,"Portland, OR 97206",None,None,2010.9.25,None
6,15088,"Portland, OR 97206",None,None,2010.9.25,Reported
7,19985,"Portland, OR 97214",None,None,2010.9.25,Reported
8,20274,"Mc Donald, PA 15057",None,None,2010.9.25,None
9,20031,"Katy, TX 77493",None,None,2010.9.25,Reported
0,20279,"Tacoma, WA 98403",None,None,2010.9.24,Reported
1,15072,"Albuquerque, NM 87106",None,None,2010.9.24,None
2,15086,"Hays, KS 67601",None,None,2010.9.24,Reported
3,15121,"Austin, TX 78704",None,None,2010.9.24,Reported
4,20256,"Albuquerque, NM 87106",None,None,2010.9.24,None
5,16245,"Sacramento, CA 95816",None,None,2010.9.24,Reported
6,20304,"Laramie, WY 82070",None,None,2010.9.24,None
7,14205,"Columbus, OH 43201",None,None,2010.9.24,None
8,20260,"Tacoma, WA 98403",None,None,2010.9.24,None
9,19987,"Austin, TX 78704",None,None,2010.9.24,Reported
0,20262,"Tempe, AZ 85281",None,None,2010.9.24,None
1,14096,"Evanston, IL 60201",None,None,2010.9.23,Reported
2,14084,"Broken Arrow, OK 74012",None,None,2010.9.23,None
3,15056,"Broken Arrow, OK 74012",None,None,2010.9.23,None
4,15080,"Humble, TX 77346",None,None,2010.9.23,Reported
5,17132,"Queens, NY 11374",None,None,2010.9.23,None
6,15296,"San Francisco, CA 94110",None,None,2010.9.23,None
7,16907,"Tacoma, WA 98403",None,None,2010.9.23,Reported
8,17584,"Denver, CO 80205",None,None,2010.9.23,Reported
0,20270,"Boston, MA 02115",None,None,2010.9.23,None
1,19952,"Austin, TX 78704",None,None,2010.9.23,None
2,20251,"Portland, OR 97201",None,None,2010.9.23,Reported
3,14067,"Cambridge, MA 02140",None,None,2010.9.22,Reported
4,1614,"Santa Cruz, CA 95060",Cable lock,"Lock is missing, along with the bike.",2010.9.22,Reported
5,15055,"Alexandria, VA 22301",None,None,2010.9.22,Reported
6,15054,"Cambridge, MA 02140",None,None,2010.9.22,Reported
7,15062,"Poughkeepsie, NY 12603",None,None,2010.9.22,None
