,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,595812,"New Orleans, LA 70117",None,None,2019.3.11,None
1,596457,"Austin, TX 78717",Not locked,"Other situation, please describe below.",2019.3.11,Reported
2,595787,"San Diego, CA 92104",Cable lock,"Lock is missing, along with the bike.",2019.3.11,Reported
3,595798,"Portland, OR 97203",Other,None,2019.3.11,Reported
4,598021,"Salt Lake, UT 84105-2026",U-lock,"Lock is missing, along with the bike.",2019.3.11,Reported
5,595903,"Austin, TX 78702",None,None,2019.3.11,Reported
6,569857,"Portland, OR 97210",U-lock and cable,"Other situation, please describe below.",2019.3.11,Reported
7,595634,"Austin, TX 78704",U-lock,"Lock is missing, along with the bike.",2019.3.10,Reported
8,610767,"Oakland, CA 094608",None,None,2019.3.10,None
0,595883,"Boulder, CO 80302",U-lock,"Lock was cut, and left at the scene.",2019.3.10,Reported
1,595585,"New Orleans, LA 70112",None,None,2019.3.10,None
2,596520,"Phoenix, AZ 85032",None,None,2019.3.10,Reported
3,590352,"San Francisco, CA",Not locked,None,2019.3.10,None
4,595551,"Phoenix, AZ 85018",None,None,2019.3.10,None
5,595764,"Arlington, VA 22209",U-lock,"Other situation, please describe below.",2019.3.10,Reported
6,595620,"New Orleans, LA 70116",None,None,2019.3.10,None
7,615195,"Oxnard, CA 93035",Not locked,Bike was not locked,2019.3.10,Reported
0,595701,"Arlington, TX 76013",Cable lock,"Lock is missing, along with the bike.",2019.3.10,None
1,595536,"Santa Monica, CA 90403",Cable lock,"Lock is missing, along with the bike.",2019.3.9,Reported
2,596434,"Seattle, WA 98122",None,None,2019.3.9,Reported
3,595649,"Santa Monica, CA 90404",None,None,2019.3.9,Reported
4,595502,"Atlanta, GA 30316",None,None,2019.3.9,None
5,595550,"Boulder, CO 80302",Cable lock,"Lock is missing, along with the bike.",2019.3.9,Reported
6,595470,"New Orleans, LA 70116",None,None,2019.3.9,None
7,595837,"Arlington, VA 22204",None,None,2019.3.9,None
8,580860,"San Diego, CA 92110",Cable lock,None,2019.3.9,None
9,595597,"Culver City, CA 90232",Cable lock,"Lock was cut, and left at the scene.",2019.3.9,Reported
0,595589,"Culver City, CA 90232",None,None,2019.3.9,None
1,595920,"Washington, DC 20001",Other,"Lock was cut, and left at the scene.",2019.3.9,Reported
2,596309,"Portland, OR 97210",Heavy duty bicycle security chain,"Lock is missing, along with the bike.",2019.3.9,None
3,595679,"Indianapolis, IN 46228",None,None,2019.3.8,Reported
4,596767,"Eugene, OR 97401",U-lock,None,2019.3.8,Reported
