,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,4647,"Princeton Junction, NJ 08550",None,None,2006.8.14,None
1,4904,"El Segundo, CA 90245",None,None,2006.8.13,None
2,4637,"Chicago, IL 60613",None,None,2006.8.12,None
3,4636,"San Francisco, CA 94117",None,None,2006.8.12,None
4,10733,"Wilkinsburg, PA 15221",None,None,2006.8.12,None
5,4902,"San Francisco, CA 94121",None,None,2006.8.12,None
6,4017,"Fort Atkinson, WI 53538",None,None,2006.8.11,None
7,4010,"Portland, OR 97202",None,None,2006.8.11,None
8,4290,"Portland, OR 97212",None,None,2006.8.11,None
9,4901,"Allston, MA 02134",None,None,2006.8.11,None
0,4635,"Pittsburgh, PA 15237",None,None,2006.8.11,None
1,4765,"Portland, OR 97212",None,None,2006.8.11,None
2,4670,"Chicago, IL 60616",None,None,2006.8.10,None
3,4641,"Fresno, CA 93704",None,None,2006.8.10,None
4,9799,"Bozeman, MT 59715",None,None,2006.8.10,None
5,4632,"Seattle, WA 98121",None,None,2006.8.9,None
6,4025,"Pacific Grove, CA 93950",None,None,2006.8.8,None
7,4627,"Atlanta, GA 30324",None,None,2006.8.8,None
8,4630,"Oakland, CA 94618",None,None,2006.8.8,None
9,5149,"Fort Collins, CO 80521",None,None,2006.8.7,None
0,4626,"Santa Monica, CA 90404",None,None,2006.8.6,None
1,4625,"Beaverton, OR 97007",None,None,2006.8.6,None
2,4621,"Portland, OR 97202",None,None,2006.8.5,None
3,4631,"Grayslake, IL 60030",None,None,2006.8.4,None
4,4633,"Chicago, IL 60614",None,None,2006.8.4,None
5,4629,"Littleton, CO 80129",None,None,2006.8.4,None
6,4619,"San Jose, CA 95112",None,None,2006.8.3,None
7,4672,"Sacramento, CA 95816",None,None,2006.8.3,None
8,4622,"Silver Spring, MD 20910",None,None,2006.8.3,None
9,4617,"Baltimore, MD 21224",None,None,2006.8.2,None
0,4628,"Austin, TX 78705",None,None,2006.8.2,None
1,4623,"San Luis Obispo, CA 93405",None,None,2006.8.2,None
2,3950,"Arcata, CA 95521",None,None,2006.8.1,None
3,4900,"Portland, OR 97201",None,None,2006.8.1,None
