,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,643427,"746 ARGUELLO BLVD, San Francisco, CA 94118",None,None,2019.8.15,None
1,646580,"Denver, CO",Cable lock,"Lock was cut, and left at the scene",2019.8.15,None
2,643530,"Seattle, WA 98101",Cable lock,"Lock is missing, along with the bike",2019.8.15,None
3,643428,"Minneapolis, MN 55401",None,None,2019.8.15,None
4,420567,"Palo Alto, CA 94306",Heavy duty bicycle security chain,"Lock is missing, along with the bike",2019.8.15,None
5,96768,"San Francisco, CA",U-lock and cable,"Lock is missing, along with the bike",2019.8.15,None
6,643390,"523 Merrimon Ave, Asheville, NC 28804",None,None,2019.8.15,Reported
7,643363,"Oakland, CA 94609",Not locked,Bike was not locked,2019.8.15,Reported
8,643490,"Lowell, MA 01852",Cable lock,"Lock is missing, along with the bike",2019.8.15,None
0,643355,"Portland, OR 97219",None,None,2019.8.15,Reported
1,643353,"Portland, OR 97219",None,None,2019.8.15,Reported
2,643352,"30 SW Morrison St, Portland, OR 97204",Not locked,"Other situation, please describe below",2019.8.15,None
3,643583,"Salem and Cross St., North End, Boston, MA",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised",2019.8.15,None
4,643326,"New, LA 70119",None,None,2019.8.15,None
5,395709,"San Mateo, CA 94403",Cable lock,"Lock was cut, and left at the scene",2019.8.15,None
6,634181,"Sugar House, UT",None,None,2019.8.15,None
0,643357,"Portland, OR 97214",None,None,2019.8.15,None
1,644221,"Cheyenne, WY 82001",Cable lock,"Lock was cut, and left at the scene",2019.8.15,None
2,645957,"Tucson, AZ 85719",None,None,2019.8.15,Reported
3,648540,"Salt Lake City, UT 84115",Cable lock,"Lock was cut, and left at the scene",2019.8.15,Reported
4,644926,"Portland, OR 97212-3214",Not locked,"Other situation, please describe below",2019.8.15,Reported
5,624572,"University Park, PA 16802",Cable lock,"Lock is missing, along with the bike",2019.8.15,None
6,384492,"Palo Alto, CA 94306",U-lock and cable,"Lock is missing, along with the bike",2019.8.14,None
7,643329,"Glendale, CA 91205",None,None,2019.8.14,Reported
0,643616,"Bronx, NY 10471",None,None,2019.8.14,None
1,643711,"University of Oklahoma , Norman, OK 73019",Cable lock,"Lock is missing, along with the bike",2019.8.14,Reported
2,658858,"Minneapolis, MN 55406",None,None,2019.8.14,None
3,643208,"Portland, OR 97214",None,None,2019.8.14,Reported
4,643569,"Portland, OR 97239",Cable lock,None,2019.8.14,None
5,643222,"Seattle, WA 98195",Other,"Lock was cut, and left at the scene",2019.8.14,Reported
6,643723,"Denver, CO 80238",Not locked,None,2019.8.14,Reported
0,643276,"Boston, MA 02116",None,None,2019.8.14,None
1,643151,"4000 15th Ave NE, Seattle, WA 98195",Cable lock,None,2019.8.14,Reported
2,644729,"Palo Alto, CA 94301",Cable lock,"Lock is missing, along with the bike",2019.8.14,None
3,643178,"Portland, OR 97221",None,None,2019.8.14,Reported
4,643460,"Milwaukee, WI 53202",None,None,2019.8.14,Reported
5,348814,"Chicago, IL 60647",U-lock,Bike was not locked,2019.8.14,None
0,643050,"San Jose, CA 95110",Not locked,None,2019.8.14,None
1,643054,"Seattle, WA 98105",None,None,2019.8.14,Reported
