,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,12969,"Portland, OR 97214",None,None,2012.9.29,Reported
1,12991,"Scottsdale, AZ 85257",None,None,2012.9.29,Reported
2,12063,"Reno, NV 89509",None,None,2012.9.29,None
3,12070,"Portland, OR 97211",None,None,2012.9.29,Reported
4,12061,"Oregon City, OR 97045",None,None,2012.9.29,None
5,12094,"Berkeley, CA 94703",None,None,2012.9.29,None
6,12064,"Reno, NV 89509",None,None,2012.9.29,None
7,14751,"Grand Rapids, MI 49506",None,None,2012.9.29,None
8,19201,"Stockton, CA 95205",None,None,2012.9.29,Reported
0,90291,"Reno, NV 89509",None,None,2012.9.29,None
1,17874,"Reno, NV 89509",None,None,2012.9.29,None
2,12066,"Portland, OR 97211",None,None,2012.9.29,Reported
3,12057,"Witchita, KS 67110",None,None,2012.9.29,None
4,19129,"L.I.C, NY 11101",None,None,2012.9.29,None
5,17875,"Portland, OR 97214",None,None,2012.9.29,Reported
6,12976,"Portland, OR OR",None,None,2012.9.29,None
0,12996,"San Diego, CA 92103",None,None,2012.9.29,Reported
1,13048,"Portland, OR",None,None,2012.9.29,Reported
2,12956,"Portland, OR 97206",None,None,2012.9.29,None
3,12114,"Stockton, CA 95205",None,None,2012.9.29,Reported
4,12977,"Imperial Beach, CA 91932",None,None,2012.9.28,None
5,12989,"Scottsdale, AZ 85257",None,None,2012.9.28,None
6,12040,"Tucson, AZ 85716",None,None,2012.9.28,Reported
7,12059,"Tucson, AZ 85719",None,None,2012.9.28,Reported
8,12543,"Chicago, IL 60626",None,None,2012.9.28,Reported
9,13033,"East Lansing, MI 48823",None,None,2012.9.28,Reported
0,14204,"Manitowoc, WI 54220",None,None,2012.9.28,None
1,14271,"Beaverton, OR 97005",None,None,2012.9.28,Reported
2,14948,"Portland, OR 97213",None,None,2012.9.28,Reported
3,12054,"Seattle, WA 90109",None,None,2012.9.28,None
4,12201,"Medford, OR 97503",None,None,2012.9.28,Reported
5,12978,"Imperial Beach, CA 91932",None,None,2012.9.28,None
6,12950,"Portland, OR 97202",None,None,2012.9.28,Reported
7,12930,"Seattle, WA 98101",None,None,2012.9.27,Reported
8,17833,"Portland, OR 97217",None,None,2012.9.27,Reported
0,12086,"Brooklyn, NY 11226",None,None,2012.9.27,None
