,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,849504,"1601 W School St, Chicago, IL 60618",None,None,2020.8.31,None
1,853426,"Hawthorne, CA 90250",Not locked,Bike was not locked,2020.8.31,Reported
2,845731,"3803 South Edmunds Street APT#25, Seattle, WA 98118",None,None,2020.8.31,None
3,849455,"Eugene, OR 97404",U-lock,None,2020.8.31,None
4,849391,"Cambridge, MA 02140",None,None,2020.8.31,None
0,849380,"Seattle, WA 98105",None,None,2020.8.31,None
1,849405,"Portland, OR 97227",None,None,2020.8.31,None
2,849742,"54 South Elliott Place, Brooklyn, NY 11217",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.8.31,None
3,849348,"Cole Street & Page Street, San Francisco, CA 94117",None,None,2020.8.31,Reported
4,906317,"UW Health Sciences K-wing 1959 ne pacific st., Seattle, WA 98195",U-lock and cable,"Lock is missing, along with the bike",2020.8.31,Reported
0,849279,"Minneapolis, MN 55406",None,None,2020.8.31,Reported
1,849277,"Minneapolis, MN 55406",None,None,2020.8.31,Reported
2,849254,"235 E 40th St. , New York, NY 10016",None,None,2020.8.31,None
3,849247,"Pittsburgh, PA 15213",None,None,2020.8.31,None
4,908290,"10 Otis Street, Westborough, MA 01581",Other,"Lock was opened, and left unharmed at the scene",2020.8.31,None
5,853746,"Westborough, MA",None,None,2020.8.31,None
6,853751,"Westborough, MA",Other,"Other situation, please describe below",2020.8.31,None
0,910462,"10 Otis Street, Westborough, MA 01581",Other,"Lock was opened, and left unharmed at the scene",2020.8.31,None
1,850424,"Rochester, NY 14608",None,None,2020.8.31,None
2,849266,"New Orleans, LA 70130",None,None,2020.8.31,None
3,866297,"Boise, ID 83075",Cable lock,"Lock was cut, and left at the scene",2020.8.31,Reported
4,862479,"Salt Lake City, UT 84105",None,None,2020.8.31,None
5,849619,"Seattle, WA 98107",Not locked,"Other situation, please describe below",2020.8.31,Reported
6,853240,"Rocklin, CA 95765",Not locked,Bike was not locked,2020.8.31,Reported
7,853279,"Rocklin, CA 95765",Not locked,Bike was not locked,2020.8.31,Reported
0,849236,"Arlington, VA 22209",U-lock,"Lock was cut, and left at the scene",2020.8.31,Reported
1,849297,"3500 Forbes Avenue, Pittsburgh, PA 15213",Cable lock,"Lock is missing, along with the bike",2020.8.31,Reported
2,853818,"Austin, TX 78745",Not locked,"Other situation, please describe below",2020.8.31,Reported
3,862754,"Portland, OR 97202",Not locked,None,2020.8.31,None
4,853184,"200 Summit Blvd, Broomfield, CO 80021",Other,"Other situation, please describe below",2020.8.31,Reported
5,853808,"Austin, TX 78745",Not locked,"Other situation, please describe below",2020.8.31,Reported
6,853175,"200 Summit Blvd, Broomfield, CO 80021",Not locked,"Other situation, please describe below",2020.8.31,Reported
7,849578,"New, LA 70115",None,None,2020.8.31,None
0,723541,"3117 SE MILWAUKIE AVE, Portland, OR 97202",Cable lock,"Lock was cut, and left at the scene",2020.8.31,Reported
1,852962,"Palo Alto, CA 94304",None,None,2020.8.31,Reported
