,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,5774,"Portland, OR 97205",None,None,2014.5.23,Reported
1,11391,"Denver, CO 80211",None,None,2014.5.23,Reported
2,8200,"Braintree, MA 02184",None,None,2014.5.23,None
3,11359,"Portland, OR 97215",None,None,2014.5.23,Reported
4,8245,"Arlington, VA 22230",None,None,2014.5.23,Reported
5,27127,"San Antonio, TX 78212",U-lock,Bike was not locked,2014.5.23,Reported
6,11392,"Boulder, CO 80302",None,None,2014.5.22,Reported
7,8288,"Albuquerque, NM 87106",None,None,2014.5.22,Reported
8,7937,"Portland, OR 97236",None,None,2014.5.22,Reported
0,27191,"Salinas, CA 93901",None,"Other situation, please describe below.",2014.5.22,Reported
1,29611,"Indianapolis, IN 46202",Cable lock,None,2014.5.22,None
2,7234,"Seattle, WA 98107",None,None,2014.5.22,Reported
3,7953,"Boulder, CO 80302",None,None,2014.5.22,Reported
4,8166,"Seattle, WA 98119",None,None,2014.5.22,None
5,11393,"Boulder, CO 80302",None,None,2014.5.22,Reported
6,3436,"Chicago, IL 60614",Cable lock,"Lock was cut, and left at the scene.",2014.5.22,Reported
7,3432,"Chicago, IL 60602",None,None,2014.5.21,None
8,11380,"Spokane Valley, WA 99037",None,None,2014.5.21,Reported
0,8123,"Auburn, WA 98058",None,None,2014.5.21,None
1,8610,"Oakland, CA 94609",None,None,2014.5.21,Reported
2,10036,"Indianapolis, IN 46201",None,None,2014.5.21,None
3,11408,"Minneapolis, MN 55404",None,None,2014.5.21,None
4,11387,"Syracuse, NY 13210",None,None,2014.5.21,None
5,29714,"Portland, OR 97217",Not locked,None,2014.5.21,Reported
6,8983,"Stamford, CT 06906",None,None,2014.5.21,None
7,8304,"Portland, OR 97217",None,None,2014.5.21,None
8,11373,"Indianapolis, IN 46225",None,None,2014.5.21,None
9,11377,"Chicago, IL 60602",None,"Lock was cut, and left at the scene.",2014.5.21,Reported
0,11386,"Portland, OR 97239",None,None,2014.5.21,Reported
1,11429,"Sunnyside, NY 11104",None,None,2014.5.21,None
2,28763,"Samuel Jacket Middle School Bike Rack, CA 95823",None,None,2014.5.21,None
3,8250,"Denver, CO 80218",None,None,2014.5.21,Reported
4,8230,"Minneapolis, MN 55404",None,None,2014.5.21,None
5,3414,"Chicago, IL 60647",U-lock,"Lock is missing, along with the bike.",2014.5.20,Reported
6,7918,"Tucson, AZ 857135",None,None,2014.5.20,Reported
7,8155,"Arlington, VA 22201",Cable lock,"Lock is missing, along with the bike.",2014.5.20,Reported
8,7660,"Los Angeles, CA 90024",None,None,2014.5.20,Reported
9,7899,"Irvine, CA 92617",None,None,2014.5.20,None
0,8010,"Indianapolis, IN 46202",None,None,2014.5.20,None
1,8100,"Seattle, WA 98102",None,None,2014.5.20,Reported
2,8094,"Portland, OR 97232",None,None,2014.5.20,None
3,11371,"San Francisco, CA 934110",None,None,2014.5.20,Reported
4,11367,"Columbus, OH 43215",None,None,2014.5.20,Reported
5,11369,"Studio City, CA 91607",None,None,2014.5.20,None
6,8096,"Portland, OR 97214",None,None,2014.5.20,Reported
7,11382,"Phoenix, AZ 85023",None,None,2014.5.20,None
8,27034,"Concord, CA 94518",Other,"Lock was cut, and left at the scene.",2014.5.20,Reported
9,11376,"Seattle, WA 98199",None,None,2014.5.20,Reported
0,8090,"Monroe, NC 28110",None,None,2014.5.20,None
1,29155,"Independence, MO 64050-4124",None,None,2014.5.20,Reported
2,10175,"Spokane, WA 99258",None,None,2014.5.20,None
3,11366,"Portland, OR 97202",None,None,2014.5.20,Reported
4,7905,"Troutdale, OR 97060",None,None,2014.5.20,Reported
5,11361,"San Francisco, CA 94103",None,None,2014.5.19,Reported
6,7358,"Seattle, WA 98105",None,None,2014.5.19,Reported
7,3409,"Chicago, IL 60603",Cable lock,"Lock is missing, along with the bike.",2014.5.19,Reported
8,8058,"Chicago, IL 60612",None,None,2014.5.19,Reported
9,7896,"Portland, OR 97202",None,None,2014.5.19,Reported
0,8147,"Los Angeles, CA 90029",None,None,2014.5.19,None
1,11364,"Portland, OR 97220",None,None,2014.5.19,None
2,11358,"Washington, DC 20036",None,None,2014.5.19,None
3,11362,"Austin Tx, TX 78732",None,None,2014.5.19,None
4,8508,"Sacramento, CA 95821",None,None,2014.5.19,None
5,7894,"Boise, ID 83702",None,None,2014.5.19,None
6,11360,"Los Angeles, CA 90616",None,None,2014.5.19,None
7,8092,"Portland, OR 97218",None,None,2014.5.18,Reported
8,11355,"Portland, OR 97206",None,None,2014.5.18,Reported
9,8232,"Tucson, AZ 85741",Not locked,Bike was not locked,2014.5.18,Reported
0,3404,"Brooklyn, NY 11237",U-lock,"Lock was opened, and left unharmed at the scene.",2014.5.18,Reported
1,8271,"San Francisco, CA 94114",None,None,2014.5.18,Reported
2,10180,"Seattle, WA 98109",None,None,2014.5.18,None
3,11374,"Seattle, WA 98105",None,None,2014.5.18,None
4,11389,"Crofton, MD 21114",None,None,2014.5.18,Reported
5,11385,"Philadelphia, PA 19148",None,None,2014.5.18,None
6,11375,"La Jolla, CA 92037",None,None,2014.5.18,Reported
7,28027,"San Francisco, CA 94000",Cable lock,"Lock was cut, and left at the scene.",2014.5.18,None
8,45830,"Everett, WA 98201",None,None,2014.5.18,None
9,11354,"San Francisco, CA 94118",None,None,2014.5.18,None
0,7539,"Atlanta, GA 30316",None,None,2014.5.18,None
1,8012,"San Francisco, CA 94114",None,None,2014.5.18,Reported
2,8063,"Brooklyn, NY 11249",None,None,2014.5.18,Reported
