,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,829631,"Washington, DC 20036",Other,Bike was not locked,2020.8.2,None
1,830411,"Temecula, CA",U-lock,None,2020.8.2,None
2,830880,"New Orleans, LA 70117",None,None,2020.8.2,Reported
3,830348,"Seattle, WA 98103",Heavy duty bicycle security chain,"Lock was cut, and left at the scene",2020.8.2,None
4,830765,"Seattle, WA 98121",None,None,2020.8.2,Reported
5,831552,"Sacramento, CA 95825",Cable lock,"Lock is missing, along with the bike",2020.8.2,None
6,91627,"3418 26th St, San Francisco, CA 94110",Two U-locks,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.8.2,None
0,829738,"Lake Forest Park, WA 98155",Cable lock,"Lock was cut, and left at the scene",2020.8.2,Reported
1,829605,"Elmore, AL 36022",None,None,2020.8.2,None
2,831384,"New Orleans, LA 70119",Chain with padlock,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.8.2,Reported
3,830635,"Union City, NJ 07087",None,None,2020.8.2,Reported
4,831310,"Austin, TX 78735",None,None,2020.8.2,Reported
0,829523,"San Francisco, CA 94114",Heavy duty bicycle security chain,"Other situation, please describe below",2020.8.1,Reported
1,834945,"Tucson, AZ 85748",Other,"Other situation, please describe below",2020.8.1,Reported
2,829515,"1155 NW Everett St, Portland, OR 97209",U-lock and cable,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.8.1,Reported
3,830922,"Minneapolis, MN 55407",None,None,2020.8.1,Reported
4,830918,"Minneapolis, MN 55407",None,None,2020.8.1,Reported
5,829475,"4500 Sandpoint Way, Seattle, WA 98105",Cable lock,"Lock was cut, and left at the scene",2020.8.1,Reported
0,833472,"Atlanta, GA 303012",Cable lock,"Lock is missing, along with the bike",2020.8.1,Reported
1,830490,"Chicago, IL 60622",U-lock and cable,"Lock is missing, along with the bike",2020.8.1,Reported
2,833094,"Bellevue, WA 98004",None,None,2020.8.1,Reported
3,829811,"Portland, OR 97213",None,None,2020.8.1,Reported
4,829375,"230 , Skyview Ranch Rd Ne, Calgary, T30T5",None,None,2020.8.1,None
5,830811,"PACIFIC AVE X HURRICANE, Venice, CA 90292",U-lock,"Lock was opened, and left unharmed at the scene",2020.8.1,None
6,695647,"11540 Pinehurst way NE 3c, Seattle, WA 98125",None,"Other situation, please describe below",2020.8.1,None
7,829386,"1568 Union Street, San Francisco, CA 94123",Cable lock,"Lock is missing, along with the bike",2020.8.1,Reported
0,829318,"Seattle, WA 98112",Not locked,None,2020.8.1,Reported
1,830779,"San Jose, CA 95117",Not locked,"Other situation, please describe below",2020.8.1,Reported
2,830713,"Bothell, WA 98012",None,None,2020.8.1,Reported
3,846846,"CubeSmart Self Storage, Broomfield, CO 80020",None,None,2020.8.1,None
0,829161,"Seattle, WA 98115",None,None,2020.8.1,None
1,829158,"Edmonds, WA 98020",None,None,2020.8.1,Reported
2,829192,"Edmonds, WA 98020",None,None,2020.8.1,Reported
3,941663,"Arlington, VA 22209-2880",Cable lock,None,2020.8.1,Reported
4,829118,"St. Paul, MN 55106",None,None,2020.8.1,Reported
5,829701,"Washington, DC 20002",None,None,2020.8.1,Reported
6,829130,"Chicago, IL 60622",None,None,2020.8.1,Reported
7,744813,"Seattle, WA 98122",U-lock,"Lock is missing, along with the bike",2020.8.1,None
0,829097,"1401 Floribunda Ave, Burlingame, CA 94010",None,None,2020.8.1,Reported
1,744816,"Seattle, WA 98122",U-lock,"Lock is missing, along with the bike",2020.8.1,None
2,829046,"Austin, TX 78751",Other,"Other situation, please describe below",2020.8.1,Reported
3,842426,"Seattle, WA 98115",None,None,2020.8.1,Reported
4,829898,"530 N. 3rd St., Minneapolis, MN 55401",U-lock,"Lock was cut, and left at the scene",2020.8.1,Reported
