,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,74039,"New York, NY 10031",Chain with padlock,"Lock is missing, along with the bike.",2016.4.18,None
1,73985,"San Diego, CA 92103",None,None,2016.4.18,None
2,73973,"Rumford, RI 02916",Heavy duty bicycle security chain,"Lock is missing, along with the bike.",2016.4.18,None
3,74032,"Mountain View, CA 94040",Cable lock,"Lock was cut, and left at the scene.",2016.4.18,Reported
4,73988,"San Francisco, CA 94117",None,None,2016.4.18,None
5,74609,"San Francisco, CA 94102",Other,None,2016.4.18,Reported
6,73986,"Los Angeles, CA 90064",None,None,2016.4.18,None
7,74149,"Washington, DC 20010",U-lock,"Lock is missing, along with the bike.",2016.4.18,Reported
8,74026,"Seattle, WA 98102",Cable lock,"Lock was cut, and left at the scene.",2016.4.18,Reported
0,74012,"Manhattan, NY 10016",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.18,None
1,74068,"Washington, DC 20003",None,None,2016.4.18,Reported
2,74025,"Seattle, WA 98102",None,"Lock was cut, and left at the scene.",2016.4.18,Reported
3,74024,"Minneapolis, MN 55403",U-lock,Bike was not locked,2016.4.18,None
4,74029,"Seattle, WA 98195",Cable lock,"Lock was cut, and left at the scene.",2016.4.18,None
5,74034,"Phoenix, AZ 85020",None,None,2016.4.18,None
6,75875,"San Francisco, CA 94111",U-lock,"Lock was cut, and left at the scene.",2016.4.18,Reported
7,74054,"Los Angeles, CA 90064",Cable lock,"Lock is missing, along with the bike.",2016.4.18,None
0,74031,"Atlanta, GA 30363",None,None,2016.4.18,None
1,74369,"Long Beach, CA 90802",Cable lock,"Lock was cut, and left at the scene.",2016.4.18,Reported
2,73930,"Seattle, WA 98107",None,None,2016.4.17,Reported
3,73923,"New Orleans, LA 70130",None,None,2016.4.17,None
4,73875,"New Orleans, LA 70130",None,None,2016.4.17,None
5,73814,"Fort Worth, TX",None,None,2016.4.17,None
6,61142,"San Francisco, CA 94122",U-lock and cable,"Object that bike was locked to was broken, removed, or otherwise compromised.",2016.4.17,Reported
7,73868,"Parma, OH 44134",None,None,2016.4.17,Reported
0,73983,"Irvine, CA 92612",Not locked,Bike was not locked,2016.4.17,None
1,74102,"Portland, OR 97203",None,Bike was not locked,2016.4.17,Reported
2,113449,"Seattle, WA 98105",None,None,2016.4.17,None
3,73962,"San Francisco, CA 94105",Other,None,2016.4.17,None
4,73904,"Lincoln, NE 68504",None,None,2016.4.17,None
5,73915,"Sacramento, CA 95814",Cable lock,"Lock was cut, and left at the scene.",2016.4.17,None
6,74004,"Seattle, WA 98136",Cable lock,"Lock is missing, along with the bike.",2016.4.17,None
7,73922,"Eugene, OR 97403",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.17,Reported
0,97258,"Milwaukie, OR 97267",None,None,2016.4.17,None
1,73903,"New Orleans, LA 70117",None,"Object that bike was locked to was broken, removed, or otherwise compromised.",2016.4.17,None
2,73883,"Orlando, FL 32814",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.17,None
3,74664,"Sainte Julie, J3E 2J5",None,None,2016.4.17,None
4,73938,"Chicago, IL 60640",None,"Other situation, please describe below.",2016.4.17,None
5,73971,"San Francisco, CA 94103",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.17,Reported
6,73928,"Sacramento, CA 95816",Cable lock,"Lock is missing, along with the bike.",2016.4.17,None
7,73906,"Austin, TX 78751",U-lock and cable,"Object that bike was locked to was broken, removed, or otherwise compromised.",2016.4.17,Reported
8,73856,"Portland, OR 97202",None,None,2016.4.17,None
0,73992,"Brooklyn, NY 11237",Chain with padlock,"Lock is missing, along with the bike.",2016.4.17,None
1,73799,"Portland, OR 97209",None,None,2016.4.16,None
2,73758,"Sacramento, CA 95826",None,None,2016.4.16,None
3,73712,"San Antonio, TX 78212",None,None,2016.4.16,None
4,73711,"New Orleans, LA 70116",None,None,2016.4.16,None
5,74086,"Edgewater, MD 21037",Not locked,"Other situation, please describe below.",2016.4.16,None
6,74088,"Edgewater, MD 21037",Not locked,"Other situation, please describe below.",2016.4.16,None
7,74082,"Edgewater, MD 21037",Not locked,"Other situation, please describe below.",2016.4.16,None
8,74087,"Edgewater, MD 21037",Not locked,"Other situation, please describe below.",2016.4.16,None
9,74084,"Edgewater, MD 21037",Not locked,"Other situation, please describe below.",2016.4.16,None
0,74081,"Edgewater, MD 21037",Not locked,"Other situation, please describe below.",2016.4.16,None
1,73727,"Sandy, UT 84070",Cable lock,"Lock was cut, and left at the scene.",2016.4.16,Reported
2,73869,"Portland, OR 97213",Cable lock,"Lock is missing, along with the bike.",2016.4.16,None
3,74015,"San Francisco, CA 94110",U-lock and cable,"Lock is missing, along with the bike.",2016.4.16,None
4,73805,"Woodland, Ca, CA 95695",Not locked,"Lock is missing, along with the bike.",2016.4.16,Reported
5,73864,"Portland, OR 97086",Chain with padlock,"Lock was cut, and left at the scene.",2016.4.16,None
6,74061,"San Francisco, CA 94123",U-lock,"Lock is missing, along with the bike.",2016.4.16,Reported
7,73716,"Washington, DC 20010",U-lock,Bike was not locked,2016.4.16,Reported
0,73757,"San Jose, CA 95134",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.16,None
1,73756,"San Jose, CA 95134",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.16,None
2,73746,"Portland, OR 97212",None,None,None,None
3,73818,"San Jose, CA 95110",Heavy duty bicycle security chain,"Lock was cut, and left at the scene.",2016.4.16,Reported
4,74247,"San Francisco, CA 94114",U-lock,"Lock was cut, and left at the scene.",2016.4.16,Reported
5,73863,"New York, NY 10004",Heavy duty bicycle security chain,"Lock is missing, along with the bike.",2016.4.16,None
6,73784,"Oakland, CA 94602",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.16,Reported
7,73859,"La Jolla, CA 92037",U-lock,Bike was not locked,2016.4.16,None
8,73725,"Bakersfield, CA 93304",Cable lock,"Lock is missing, along with the bike.",2016.4.16,None
9,74528,"San Antonio, TX 78205",Cable lock,None,2016.4.16,Reported
0,74730,"Seattle, WA WA",None,None,2016.4.16,Reported
1,73719,"Washington, DC 20010",Not locked,Bike was not locked,2016.4.16,Reported
2,42058,"Berkeley, CA 94705",Heavy duty bicycle security chain,"Lock is missing, along with the bike.",2016.4.16,Reported
3,73702,"Beaverton, OR 97006",None,None,2016.4.15,Reported
4,73690,"Seattle, WA 98119",None,None,2016.4.15,None
5,73648,"Portland, OR 97214",None,None,2016.4.15,Reported
6,73647,"Salt Lake City, UT 84102",None,None,2016.4.15,Reported
7,73646,"Salt Lake City, UT 84102",None,None,2016.4.15,Reported
8,73641,"Denver, CO 80205",None,None,2016.4.15,None
0,73684,"San Francisco, CA 94102",U-lock and cable,"Lock was cut, and left at the scene.",2016.4.15,Reported
1,73667,"Houston, TX 77063",None,None,2016.4.15,Reported
2,73663,"Indianapolis, IN 46202",None,None,2016.4.15,None
3,73959,"Kensington, CT 06037",None,None,2016.4.15,Reported
4,73956,"Portland, OR 97214",None,None,2016.4.15,None
5,74013,"Yucaipa, CA",Cable lock,"Lock was cut, and left at the scene.",2016.4.15,Reported
6,73714,"Kensington, CT 06037",None,None,2016.4.15,Reported
7,74573,"Pleasanton, CA 94566",None,None,2016.4.15,Reported
8,74568,"Pleasanton, CA 94566",None,None,2016.4.15,Reported
