,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,81810,"Princeton, NJ 08544",Not locked,None,2016.6.23,None
1,81880,"Boulder, CO 80302",Cable lock,"Lock is missing, along with the bike.",2016.6.23,Reported
2,81867,"Madison, WI 53703",Cable lock,"Lock is missing, along with the bike.",2016.6.23,None
3,81902,"Buffalo, NY 14201",Not locked,None,2016.6.23,None
4,81891,"Boulder, CO 80303",Cable lock,"Lock is missing, along with the bike.",2016.6.23,None
5,82185,"Deal, NJ 07723",None,None,2016.6.23,None
6,81892,"Boulder, CO 80303",Cable lock,"Lock is missing, along with the bike.",2016.6.23,None
7,86596,"Redmond, WA 98052",Other,"Lock is missing, along with the bike.",2016.6.23,Reported
0,82187,"Deal, NJ 07723",None,None,2016.6.23,None
1,99592,"Edison, NJ 08820",Not locked,Bike was not locked,2016.6.23,None
2,81905,"Rochester, NY 14607",Cable lock,"Lock was cut, and left at the scene.",2016.6.23,None
3,81772,"Tucson, AZ 85716",None,None,2016.6.22,None
4,81715,"Milwaukee, WI 53207",None,None,2016.6.22,Reported
5,81714,"Topeka, KS 66611",None,None,2016.6.22,None
6,81691,"San Francisco, CA 94109",None,None,2016.6.22,None
7,81692,"Mountain View, CA 94040",Heavy duty bicycle security chain,"Lock was cut, and left at the scene.",2016.6.22,Reported
8,81783,"Seattle, WA 98107",Cable lock,"Lock is missing, along with the bike.",2016.6.22,None
0,81747,"Seattle, WA 98102",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2016.6.22,Reported
1,84438,"San Diego, CA 92101 ",Cable lock,"Lock is missing, along with the bike.",2016.6.22,Reported
2,81814,"Seattle, WA 98195",Cable lock,"Lock is missing, along with the bike.",2016.6.22,Reported
3,81278,"Phoenix, AZ 85044",Other,"Other situation, please describe below.",2016.6.22,Reported
4,81735,"San Francisco, CA 94110",None,None,2016.6.22,None
5,81800,"Boulder, CO 80301",Cable lock,"Lock is missing, along with the bike.",2016.6.22,Reported
6,81672,"York, PA 17403",Not locked,Bike was not locked,2016.6.22,Reported
7,81738,"Minneapolis, MN 55409",Cable lock,"Other situation, please describe below.",2016.6.22,Reported
8,81840,"Washington, DC 20017 ",Other,"Object that bike was locked to was broken, removed, or otherwise compromised.",2016.6.22,Reported
0,102307,"Santa Monica, CA 90405",Other,"Other situation, please describe below.",2016.6.22,Reported
1,81687,"Seattle, WA 98102",U-lock,"Lock is missing, along with the bike.",2016.6.22,None
2,81812,"Cambridge, MA 02139",Cable lock,"Lock is missing, along with the bike.",2016.6.22,None
3,81676,"Somerville, MA 02144",Cable lock,None,2016.6.22,Reported
4,81752,"Portland, OR 97232",Cable lock,"Lock is missing, along with the bike.",2016.6.22,Reported
