,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,614952,"Chicago, IL 60610",U-lock,"Lock was cut, and left at the scene",2020.10.8,Reported
1,932038,"Boise, ID 83702",Cable lock,"Lock was cut, and left at the scene",2020.10.8,Reported
2,931898,"Berkeley, CA 94705",U-lock,None,2020.10.8,Reported
3,658119,"Washington, DC 20011-6418",Not locked,"Other situation, please describe below",2020.10.8,Reported
4,931869,"Goshen, IN 46528",None,None,2020.10.8,None
5,931873,"Federal Heights, CO 80260",None,None,2020.10.8,Reported
0,931795,"Hoboken, NJ 07030 ",None,"Lock is missing, along with the bike",2020.10.8,None
1,931799,"Los Angeles, CA 90025",U-lock,None,2020.10.8,Reported
2,931806,"Santa Monica, CA 90403",None,None,2020.10.8,None
3,932928,"1019 La Rue Road, Davis, CA 95616",Cable lock,"Lock is missing, along with the bike",2020.10.8,Reported
4,931783,"Oakdale, MN 55128",Not locked,None,2020.10.8,None
5,931780,"Pony Express Self Storage 180 Bromley Business Pkwy , Brighton, CO 80601",U-lock and cable,None,2020.10.8,Reported
6,933575,"1035 Broadripple Ave, Indianapolis, IN 46220",Cable lock,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.10.8,Reported
7,934490,"New Orleans, LA 70115",None,None,2020.10.8,None
8,931752,"Calgary, T2S0J7",None,None,2020.10.8,None
0,931746,"Redwood, CA 94063",Not locked,None,2020.10.8,Reported
1,933307,"Eugene, OR 97408",None,None,2020.10.8,Reported
2,931701,"Washington, DC 20005",U-lock,None,2020.10.8,None
3,932124,"Eugene, OR 97403-1753",None,None,2020.10.8,Reported
4,936762,"Pueblo, CO 81004",Not locked,Bike was not locked,2020.10.8,None
5,931674,"931 E. Harmony Road, Ft. Collins, CO 80525",None,None,2020.10.8,Reported
6,931679,"931 E. Harmony Road, Ft. Collins, CO 80525",None,None,2020.10.8,Reported
7,931684,"931 E. Harmony Road, Ft. Collins, CO 80525",None,None,2020.10.8,Reported
0,931680,"931 E. Harmony Road, Ft. Collins, CO 80525",None,None,2020.10.8,Reported
1,931681,"931 E. Harmony Road, Ft. Collins, CO 80525",None,None,2020.10.8,Reported
2,931682,"931 E. Harmony Road, Ft. Collins, CO 80525",None,None,2020.10.8,Reported
3,931683,"931 E. Harmony Road, Ft. Collins, CO 80525",None,None,2020.10.8,Reported
