,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,78431,"Portland, OR 97206",None,None,2016.5.23,Reported
1,78404,"Streamwood, IL 60107",None,None,2016.5.23,None
2,78361,"Berkeley, CA 94709",None,None,2016.5.23,Reported
3,78303,"Salem, OR 97301",Cable lock,"Lock was cut, and left at the scene.",2016.5.23,None
4,78411,"Eugene, OR 97401",U-lock,"Lock was cut, and left at the scene.",2016.5.23,None
5,78425,"Charlotte, NC 28202",None,None,2016.5.23,None
6,78363,"Clackamas, OR 97086",Not locked,"Other situation, please describe below.",2016.5.23,None
0,78409,"Shreveport, LA 71104",None,None,2016.5.23,Reported
1,78511,"Portland, OR 97206",Other,"Other situation, please describe below.",2016.5.23,Reported
2,78338,"San Francisco, CA 94121",U-lock and cable,"Lock is missing, along with the bike.",2016.5.23,Reported
3,79952,"Los Angeles, CA 90038-2922",Cable lock,"Lock was cut, and left at the scene.",2016.5.23,Reported
4,78298,"Vancouver, V5N1C4",None,None,2016.5.23,None
5,78293,"Eugene, OR 97403",None,None,2016.5.22,Reported
6,78291,"Venice, CA 90291",None,None,2016.5.22,None
7,78275,"Tucson, AZ 85705",None,None,2016.5.22,None
8,78271,"New Orleans, LA",None,None,2016.5.22,Reported
9,78255,"Portland, OR 97215",None,None,2016.5.22,Reported
0,78253,"Gainesville, FL 32608",Cable lock,"Lock is missing, along with the bike.",2016.5.22,None
1,78289,"Sacramento, CA 95814",Cable lock,"Lock is missing, along with the bike.",2016.5.22,Reported
2,78292,"Anchorage, AK 99518",None,"Lock was cut, and left at the scene.",2016.5.22,Reported
3,78315,"Chicago, IL 60634",Chain with padlock,None,2016.5.22,None
4,78286,"Santa Monica, CA 90405",Cable lock,"Lock is missing, along with the bike.",2016.5.22,Reported
5,78423,"Perris, CA 92570",U-lock,"Lock is missing, along with the bike.",2016.5.22,None
6,78619,"Seattle, WA 98105",Cable lock,"Lock is missing, along with the bike.",2016.5.22,Reported
7,78219,"Denver, CO 80206",Not locked,Bike was not locked,2016.5.22,Reported
0,78616,"Seattle, WA 98105",Cable lock,"Lock is missing, along with the bike.",2016.5.22,Reported
1,78273,"Gainesville, FL 32601",U-lock,"Lock is missing, along with the bike.",2016.5.22,Reported
2,100362,"Berkeley, CA 94702",Not locked,None,2016.5.22,Reported
3,78274,"Boca Raton, FL 33431",Not locked,None,2016.5.22,Reported
4,78406,"Poughkeepsie, NY 12603",Cable lock,None,2016.5.22,None
5,78239,"Portland, OR 97206",Cable lock,"Lock was cut, and left at the scene.",2016.5.22,Reported
6,80805,"Menlo Park, CA 94025",Cable lock,"Lock is missing, along with the bike.",2016.5.22,Reported
7,78198,Toronto,None,None,2016.5.21,None
0,78191,"New Orleans, LA 70119",None,None,2016.5.21,None
1,78178,"Hillsboro, OR 97124",None,None,2016.5.21,Reported
2,78171,"San Francisco, CA 94110",None,None,2016.5.21,None
3,78131,"San Francisco, CA 94110",None,None,2016.5.21,None
