,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,11534,"Seattle, WA 98133",None,None,2013.10.15,None
1,11532,"Portland, OR 97202",None,None,2013.10.15,None
2,23075,"Portland, OR 97202",None,None,2013.10.15,None
3,18522,"San Jose, CA 96112",None,None,2013.10.15,Reported
4,20806,"San Anslemo, CA 94930",None,None,2013.10.15,Reported
5,20807,"Portland, OR 97213",None,None,2013.10.15,Reported
6,11752,"East Lansing, MI 48825",None,None,2013.10.15,Reported
7,23097,"Sacramento, CA 95819",None,None,2013.10.15,Reported
8,19854,"Atlanta, GA 30306",None,None,2013.10.15,None
9,23073,"Portland, OR 97202",None,None,2013.10.15,None
0,27470,"San Francisco, CA 94102",Cable lock,"Other situation, please describe below.",2013.10.15,None
1,18459,"New York, NY 11206",None,None,2013.10.15,None
2,20803,"Buffalo, NY 14222",None,None,2013.10.15,None
3,23072,"Austin, TX 78704",None,None,2013.10.15,Reported
4,23078,"Portland, OR 97213",None,None,2013.10.15,Reported
5,23087,"Austin, TX 78705",None,None,2013.10.15,Reported
6,57083,"Brooklyn, NY 11215",U-lock,"Lock is missing, along with the bike.",2013.10.15,None
7,18446,"Portland, OR 97204",None,None,2013.10.15,Reported
8,18606,"Portland, OR 97202",None,None,2013.10.15,None
9,20814,"Portland, OR 97214",None,None,2013.10.15,None
0,20808,"Portland, OR 97212",None,None,2013.10.15,None
1,18464,"Portland, OR 97222",None,None,2013.10.14,None
2,949,"Campbell, CA 95008",Other,"Other situation, please describe below.",2013.10.14,Reported
3,952,"Chicago, IL 60647",Cable lock,None,2013.10.14,None
4,983,"Chicago, IL 60614",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2013.10.14,Reported
5,20791,"Bay City, MI 48708",None,None,2013.10.14,None
6,11736,"Colorado Springs, CO 80905",None,None,2013.10.14,Reported
7,18398,"Portland, OR 97213",None,None,2013.10.14,Reported
8,23058,"Portland, OR 97209",None,None,2013.10.14,Reported
0,23045,"Portland, OR 97201",None,None,2013.10.14,Reported
