,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,38597,"Portland, OR 97211",None,None,2015.1.21,Reported
1,38692,"San Francisco, CA 94103",Not locked,Bike was not locked,2015.1.21,Reported
2,38850,"Santa Monica, CA 90405",Not locked,None,2015.1.21,Reported
3,38721,"San Francisco, CA 94108",Not locked,None,2015.1.21,Reported
4,38717,"Portland, OR 97202",Cable lock,"Lock was cut, and left at the scene.",2015.1.21,Reported
5,38602,"Tucson, AZ 85712",None,"Lock is missing, along with the bike.",2015.1.21,Reported
6,38594,"Albany, CA 94706",Chain with padlock,"Lock was cut, and left at the scene.",2015.1.21,Reported
7,38827,"San Francisco, CA 94109",U-lock,"Lock was cut, and left at the scene.",2015.1.21,Reported
8,38720,"Tacoma, WA 98416",Cable lock,None,2015.1.21,None
9,38961,"San Leandro, CA 94577",None,"Other situation, please describe below.",2015.1.21,Reported
0,38725,"Oakland, CA 94608",Not locked,"Other situation, please describe below.",2015.1.21,Reported
1,38731,"Washington, DC 20010",Other,"Other situation, please describe below.",2015.1.21,None
2,38883,"Seattle, WA 98119",U-lock,Bike was not locked,2015.1.21,None
3,38718,"Brentwood, CA 94513",Cable lock,"Lock is missing, along with the bike.",2015.1.21,Reported
4,38595,"San Francisco, CA",U-lock,"Lock was cut, and left at the scene.",2015.1.21,Reported
5,38588,"Portland, OR 97209",None,None,2015.1.20,Reported
6,38584,"Berkeley, CA 94709",None,None,2015.1.20,None
7,38577,OR 97217,None,None,2015.1.20,None
0,38557,"Palo Alto, CA 94301",Not locked,Bike was not locked,2015.1.20,Reported
1,38836,"Phoenix, AZ 85032",Cable lock,"Lock is missing, along with the bike.",2015.1.20,Reported
2,38816,"Oakland, CA 94601",None,None,2015.1.20,None
3,38582,"Raleigh, NC 27615",None,None,2015.1.20,None
4,39213,"Humble, TX 77396",Not locked,Bike was not locked,2015.1.20,None
5,38569,"Pittsburgh, PA 15224",U-lock and cable,"Lock is missing, along with the bike.",2015.1.20,Reported
6,38555,"San Francisco, CA 94110",None,None,2015.1.20,None
7,38810,"San Diego, CA 92104",Cable lock,None,2015.1.20,Reported
8,38590,"Portland, OR 97203",None,None,2015.1.20,None
0,38537,"Portland, OR 97211",None,None,2015.1.19,None
1,38554,"Oakland, CA 94612",Other,Bike was not locked,2015.1.19,Reported
2,38525,"Allison Park, PA 15101",Not locked,Bike was not locked,2015.1.19,None
3,38729,"San Jose, CA 95112",None,None,2015.1.19,None
4,38600,"Alameda, CA 94501",Cable lock,"Lock was cut, and left at the scene.",2015.1.19,None
5,38531,"San Francisco, CA 94131",U-lock,None,2015.1.19,None
6,38541,"San Francisco, CA 94117",Other,"Other situation, please describe below.",2015.1.19,None
