,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,662087,"Portland, OR 97214",U-lock,"Other situation, please describe below",2019.9.30,Reported
1,661962,"New Orleans, LA 70130",None,None,2019.9.30,None
2,662018,"Denver, CO 80203",None,None,2019.9.30,None
3,408083,"Stanford, CA 94305",Chain with padlock,"Lock was cut, and left at the scene",2019.9.30,Reported
4,662008,"5170 table mesa dr, Boulder, CO 80303",None,None,2019.9.30,Reported
5,662010,"1500 SW Chandler Ave, Bend, OR 97702",None,None,2019.9.30,None
6,661986,"Orlando, FL 32804",Cable lock,"Lock was cut, and left at the scene",2019.9.30,Reported
7,662258,"1012 14th Street, Golden, CO 80401",Cable lock,"Lock was cut, and left at the scene",2019.9.30,Reported
0,676339,"Austin, TX 78704",Cable lock,"Lock was cut, and left at the scene",2019.9.30,Reported
1,662435,"Portland, OR 97211",None,None,2019.9.30,None
2,661954,"2055 Sebastopol Rd, Santa Rosa, CA CA 95407",Cable lock,"Lock is missing, along with the bike",2019.9.30,Reported
3,662115,"3600 Broadway, Oakland, CA 94611",Heavy duty bicycle security chain,None,2019.9.30,Reported
4,661969,"Pittsburgh, PA 15232",Not locked,None,2019.9.30,Reported
5,661943,"San Francisco, CA 94108",None,None,2019.9.29,None
6,662126,"Omaha, MO 68105",Cable lock,None,2019.9.29,Reported
7,701098,"Durham, NC 27705",None,None,2019.9.29,Reported
8,599269,"Portland, OR 97239",U-lock,"Lock was cut, and left at the scene",2019.9.29,Reported
9,661913,"1305 Oltorf, Austin, TX 78704",None,None,2019.9.29,None
0,661905,"Los Angeles, CA 90048",None,None,2019.9.29,None
1,661875,"Rochester, NY 14607",None,None,2019.9.29,None
2,691148,"Mesa, AZ 85210",None,None,2019.9.29,Reported
3,615597,"Milwaukee, WI 53214",None,None,2019.9.29,Reported
4,661890,"7699 Palmilla Drive , San Diego, CA 92122",U-lock,"Lock is missing, along with the bike",2019.9.29,Reported
5,661869,"1317 e brady st, Milwaukee, WI 53292",None,None,2019.9.29,None
6,656160,"Indianapolis, IN 46203",None,"Other situation, please describe below",2019.9.29,Reported
0,661832,"Seattle, WA 98117",Not locked,"Other situation, please describe below",2019.9.29,Reported
1,661818,"Des Moines, IA 50312",Not locked,None,2019.9.29,Reported
2,662529,"Portland, OR 97202",None,None,2019.9.29,Reported
3,661826,"Des Moines, IA 50312",Not locked,None,2019.9.29,Reported
4,661810,"65 Plaza Dr, Sanford, ME 04073",None,None,2019.9.29,None
5,661785,"3816 S Lamar Blvd, Austin, TX 78704",Two U-locks,"Object that bike was locked to was broken, removed, or otherwise compromised",2019.9.29,None
6,653823,"Indianapolis, IN 46203",None,None,2019.9.29,None
7,648172,"Palo Alto, CA 94301",Other,"Other situation, please describe below",2019.9.29,None
8,664293,"Seattle, WA 98199",Not locked,"Other situation, please describe below",2019.9.29,Reported
9,661804,"1172 2 nd avenue, Slc, UT 84103",None,None,2019.9.29,None
0,661947,"Los Angeles, CA 90401",None,None,2019.9.29,None
1,661803,"6143 Orange St, 2, Los Angeles, CA 90048",Chain with padlock,"Lock is missing, along with the bike",2019.9.29,Reported
2,661723,"San Francisco, CA 94114",None,None,2019.9.29,None
3,663092,"New Orleans, LA 70118",None,None,2019.9.29,None
