,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,106691,"San, CA 94131",Not locked,"Other situation, please describe below.",2016.12.22,Reported
1,99117,"Seattle, WA 98119",Cable lock,"Lock was cut, and left at the scene.",2016.12.22,Reported
2,107014,"Seattle, WA 98105",U-lock,"Lock is missing, along with the bike.",2016.12.22,None
3,106713,"Atlanta, GA 30329",None,None,2016.12.22,None
4,106991,"Miami, FL 33127",Not locked,None,2016.12.22,None
5,106769,"San Francisco, CA 94143",U-lock,"Lock is missing, along with the bike.",2016.12.22,Reported
6,106699,"Tucson, AZ 85719",U-lock,"Lock is missing, along with the bike.",2016.12.22,None
7,106935,"Mahtomedi, MN 55110",Cable lock,"Lock is missing, along with the bike.",2016.12.22,None
8,106645,"Fresno, CA 93704",None,None,2016.12.21,None
0,106638,"Seattle, WA 98102",None,None,2016.12.21,None
1,106637,"San Francisco, CA 94117",None,None,2016.12.21,None
2,106636,"Bronx, NY 10455",None,None,2016.12.21,None
3,106633,"Alameda, CA 94501",None,None,2016.12.21,None
4,106628,"Washington, DC 20007",None,None,2016.12.21,None
5,380102,"Houston, TX 77004",U-lock,None,2016.12.21,None
6,106614,"Houston, TX 77008",None,None,2016.12.21,Reported
7,380103,"Houston, TX 77004",U-lock,None,2016.12.21,None
8,106763,"Victoria, TX 77901",Other,"Other situation, please describe below.",2016.12.21,Reported
9,106652,"Mountain View, CA 94042",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2016.12.21,Reported
0,106629,"San Diego, CA 92101",Other,None,2016.12.21,Reported
1,107924,"Seattle, WA 98102",None,None,2016.12.21,None
2,106779,"St Petersburg, FL 33701",U-lock,"Lock was opened, and left unharmed at the scene.",2016.12.21,None
3,106610,CA 00000,U-lock,"Other situation, please describe below.",2016.12.21,None
4,108169,"Berkeley, CA 94703",U-lock,"Lock was cut, and left at the scene.",2016.12.21,None
5,107783,"Seattle, WA 98102",None,None,2016.12.21,Reported
6,106631,"Seattle, WA 98102",U-lock and cable,"Lock was cut, and left at the scene.",2016.12.21,Reported
7,107000,"San Francisco, CA 94114",Cable lock,"Lock was cut, and left at the scene.",2016.12.21,None
8,107907,"Portland, OR 97206",None,None,2016.12.21,None
