,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,117295,"San Francisco, CA 94133",Cable lock,"Lock was cut, and left at the scene.",2017.4.13,Reported
1,114597,"Lakewood, CO 80226",Other,"Other situation, please describe below.",2017.4.13,None
2,114566,"Sidney, OH 45365",Not locked,None,2017.4.13,None
3,119276,"Fountain Hills, AZ 85268",Cable lock,"Lock was cut, and left at the scene.",2017.4.13,Reported
4,114555,"Washington, DC 20007",U-lock and cable,"Object that bike was locked to was broken, removed, or otherwise compromised.",2017.4.13,None
5,114577,"Waltham, MA 02452",None,None,2017.4.13,None
6,114564,"Inglewood, CA 90301",Other,None,2017.4.13,None
7,114618,"New Orleans, FL 70122",None,None,2017.4.13,None
0,114610,"Seattle, WA 98103",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2017.4.13,Reported
1,114470,"Brooklyn, NY 11233",None,None,2017.4.12,None
2,114447,"Havertown, PA 19083",None,None,2017.4.12,None
3,114452,"Miami, FL 33134",Not locked,Bike was not locked,2017.4.12,Reported
4,114655,"Houston, TX 77008",Not locked,None,2017.4.12,Reported
5,114631,"Houston, TX 77008",Not locked,None,2017.4.12,Reported
6,114874,"Portland, OR 97212",Not locked,"Other situation, please describe below.",2017.4.12,Reported
0,114941,"Seattle, WA 98103",Cable lock,"Lock was cut, and left at the scene.",2017.4.12,None
1,114940,"Seattle, WA 98103",Cable lock,"Lock was cut, and left at the scene.",2017.4.12,None
2,114492,"San Francisco, CA",Other,"Other situation, please describe below.",2017.4.12,None
3,120889,"Colorado Springs, CO 80903",Not locked,None,2017.4.12,None
4,114517,"Boulder, CO 80302",Cable lock,"Lock was cut, and left at the scene.",2017.4.12,Reported
5,118798,"Renton, WA 98057",Cable lock,"Lock was cut, and left at the scene.",2017.4.12,Reported
6,114535,"Clackamas, OR 97086",U-lock and cable,"Lock is missing, along with the bike.",2017.4.12,Reported
7,114502,"Indianapolis, IN 46202",Cable lock,"Lock is missing, along with the bike.",2017.4.12,None
8,114543,"Eugene, OR 97402",Heavy duty bicycle security chain,"Lock was cut, and left at the scene.",2017.4.12,Reported
0,114485,"Tucson, AZ 85714",None,None,2017.4.12,None
1,114536,"Portland, OR 97232",None,None,2017.4.12,None
2,114436,"Bozeman, MT 59715",None,None,2017.4.11,None
3,114350,"Tampa, FL 33617",None,None,2017.4.11,None
4,114334,"Montebello, CA 90640",None,None,2017.4.11,None
5,114368,"Vancouver, WA 98684",Not locked,"Lock is missing, along with the bike.",2017.4.11,Reported
6,114467,"San Diego, Ca, CA 92109",None,None,2017.4.11,None
0,114412,"New Orleans, LA 70117",U-lock,"Lock was opened, and left unharmed at the scene.",2017.4.11,None
1,114429,"Oakland, CA 94612",None,None,2017.4.11,Reported
2,114473,"San Francisco, CA 94103",None,None,2017.4.11,None
3,115020,"Tempe, AZ 85281",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2017.4.11,Reported
4,374495,"San Diego, CA 92182",None,None,2017.4.11,Reported
5,114434,"Berkeley, CA 94708",U-lock and cable,"Lock is missing, along with the bike.",2017.4.11,Reported
6,114450,"Grayson, GA 30017",None,None,2017.4.11,Reported
7,114590,"Minneapolis, MN 55419",Not locked,None,2017.4.11,None
8,114550,"Littleton, CO 80120",Not locked,Bike was not locked,2017.4.11,Reported
0,114449,"Grayson, GA 30017",None,None,2017.4.11,Reported
1,114337,"Gainesville, FL 32601",Not locked,"Other situation, please describe below.",2017.4.11,Reported
2,114382,"Indianapolis, IN 46220",None,None,2017.4.11,None
3,114409,"Washington, DC 20001",Cable lock,"Lock was cut, and left at the scene.",2017.4.11,Reported
4,118664,"Tucson, AZ 85712",Not locked,None,2017.4.11,Reported
5,114477,"Alameda, CA 94501",Cable lock,"Lock was cut, and left at the scene.",2017.4.11,None
6,102704,"Seattle, WA 98121",U-lock,"Lock was opened, and left unharmed at the scene.",2017.4.11,Reported
7,114506,"Newark, DE 19717",Heavy duty bicycle security chain,"Lock is missing, along with the bike.",2017.4.11,None
8,114588,"Minneapolis, MN 55419",Not locked,None,2017.4.11,Reported
0,114357,"Los Angeles, CA 90024",U-lock and cable,"Lock was cut, and left at the scene.",2017.4.11,Reported
