,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,776206,"La Jolla, CA 92037",None,None,2020.6.27,None
1,777060,"Berkeley, CA 94702",Chain with padlock,"Other situation, please describe below",2020.6.27,Reported
2,778229,"900 Bitner Road Building O Parking Lot, Park City, UT 84098",Cable lock,"Lock was cut, and left at the scene",2020.6.27,Reported
3,778627,"New Orleans, LA 70115",None,None,2020.6.27,None
4,783676,"Orlando, FL 32803",Cable lock,"Lock is missing, along with the bike",2020.6.27,Reported
5,786494,"North Salt Lake, UT 84054",None,None,2020.6.27,Reported
6,776103,"Denver, CO 80238",None,None,2020.6.27,None
0,776921,"1156 N 198th St., Shoreline, WA 98133",Cable lock,"Lock is missing, along with the bike",2020.6.27,Reported
1,776040,"501 surf avenue, Brooklyn, NY 11224",None,None,2020.6.27,None
2,776105,"Corner of Main and Vine, Richmond, VA 23221",U-lock,"Lock was opened, and left unharmed at the scene",2020.6.27,Reported
3,776408,"417 Santa Fe Drive, Encinitas, CA 92024",Other,None,2020.6.26,Reported
4,777255,"Salinas, CA 93906",None,None,2020.6.26,Reported
0,843715,"Irvine, CA 92603",None,None,2020.6.26,None
1,776167,"800 Boylston St, Boston, MA 02199",U-lock,"Other situation, please describe below",2020.6.26,None
2,777305,"Boise, ID 83704",Not locked,Bike was not locked,2020.6.26,Reported
3,775647,"Palo Alto, CA 94306",U-lock and cable,"Lock is missing, along with the bike",2020.6.26,None
4,776469,"Holland, MI 49423",Not locked,None,2020.6.26,None
0,775579,"145 Harvard St, Rochester, NY 14607",None,None,2020.6.26,None
1,775577,"Englewood, CO 80113",None,None,2020.6.26,Reported
2,775844,"Savannah, GA 31405",None,None,2020.6.26,Reported
3,775550,"Rochester, NY 14609",Not locked,"Other situation, please describe below",2020.6.26,None
4,775517,"420 Delaware St SE, Minneapolis, MN 55455",Cable lock,"Lock was cut, and left at the scene",2020.6.26,Reported
5,775562,"Englewood, CO 80113",None,"Other situation, please describe below",2020.6.26,Reported
6,775571,"Englewood, CO 80113",None,None,2020.6.26,Reported
0,776695,"Menlo Park, CA 94025",None,None,2020.6.26,None
1,780743,"San Diego, CA 92101",Not locked,None,2020.6.26,Reported
2,780609,"3330 SE Division st., Portland, OR 97202",U-lock and cable,"Lock is missing, along with the bike",2020.6.26,Reported
3,775256,"9401 NE Sunderland Ave, Portland, OR 97211",None,None,2020.6.26,None
0,767383,"567 NE 8th St, Gresham, OR 97030, USA, Gresham, OR 970305649",None,None,2020.6.26,None
1,400929,"1395 MASONIC AVE, San Francisco, CA 94117",Other,Bike was not locked,2020.6.26,Reported
2,775406,"726 Oak St, San Francisco, CA 94117",Cable lock,"Lock was cut, and left at the scene",2020.6.26,Reported
3,775419,"San Francisco, CA 94117",Cable lock,"Lock was cut, and left at the scene",2020.6.26,Reported
4,779249,"San Francisco, CA 94131",Other,"Other situation, please describe below",2020.6.26,Reported
5,779216,"San Francisco, CA 94131",Other,"Other situation, please describe below",2020.6.26,Reported
6,779230,"San Francisco, CA 94131",Other,"Other situation, please describe below",2020.6.26,Reported
7,779241,"San Francisco, CA 94131",Other,"Other situation, please describe below",2020.6.26,Reported
0,775163,"61 Allston St, Cambrigde, MA 03129",None,None,2020.6.26,None
1,775181,"Seatttle, WA 98103",None,None,2020.6.26,Reported
2,775194,"Silver Spring, MD 20910",None,None,2020.6.26,Reported
3,779988,"San Diego, CA 92104",Other,None,2020.6.26,Reported
4,775343,"San Diego, CA 92104",Other,None,2020.6.26,Reported
5,775110,"2200 Pearl Street, Austin, TX 78705",Cable lock,"Lock is missing, along with the bike",2020.6.26,Reported
6,775104,"1122-1312 Co Rd 119, Brooktondale, NY 14817",Cable lock,"Lock is missing, along with the bike",2020.6.26,None
7,775106,"1122-1312 Co Rd 119, Brooktondale, NY 14817",Cable lock,None,2020.6.26,None
0,775086,"Minneapolis, MN 55401",None,None,2020.6.26,None
1,785998,"Los Angeles, CA 90045",None,None,2020.6.26,None
2,775083,"611 Dairy Ashford, Houston, TX 77079",Other,"Other situation, please describe below",2020.6.26,Reported
3,775316,"Seattle, WA 98108",None,None,2020.6.26,None
4,777204,"San Francisco, CA 94114",U-lock,"Lock is missing, along with the bike",2020.6.26,Reported
5,777585,"2901 Southpointe Road, South Jordan, UT 84095",None,None,2020.6.26,None
6,106912,"San Francisco, CA 94114",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.6.26,None
7,840412,"Los Angeles, CA 90034",U-lock,"Lock was cut, and left at the scene",2020.6.26,None
0,71505,"San Francisco, CA 94109",Heavy duty bicycle security chain,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.6.26,Reported
1,775472,"1031 Crestview Drive, Apt, Mountain View, CA 94040",Two U-locks,"Lock was cut, and left at the scene",2020.6.26,Reported
2,775477,"1031 Crestview Drive, Mountain View, CA 94040",Two U-locks,"Lock was cut, and left at the scene",2020.6.26,Reported
3,789534,"Metairie, LA 70001",None,None,2020.6.26,Reported
4,775026,"Santa, CA 95051",None,None,2020.6.26,None
5,774938,"Anchorage, AK 99501",None,None,2020.6.26,Reported
6,775024,"Santa, CA 95051",Not locked,None,2020.6.26,Reported
7,775528,"Portland, OR 97217",None,None,2020.6.26,Reported
8,774996,"Blake/18th, Denver, CO",None,None,2020.6.26,None
9,775519,"Highlands Ranch, CO 80130",Not locked,Bike was not locked,2020.6.26,Reported
0,783390,"San Francisco, CA 94109",Not locked,None,2020.6.26,Reported
1,837583,"Portland, OR 97204",U-lock,"Other situation, please describe below",2020.6.26,Reported
2,783907,"Millcreek, UT 84109-3212",Not locked,None,2020.6.25,Reported
3,786690,"Mc Kinleyville, CA 95519",Other,"Other situation, please describe below",2020.6.25,None
4,774911,"San Jose, CA 95126",None,None,2020.6.25,None
5,774919,"1400 Tenth St, Golden, CO 80401",Cable lock,"Lock was cut, and left at the scene",2020.6.25,Reported
6,780278,"3601 Phillips Pkwy, St Louis Park, MN 55426",None,None,2020.6.25,Reported
