,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,686730,"Philadelphia, PA 19103",U-lock and cable,"Lock was cut, and left at the scene",2020.1.11,Reported
1,686475,"Los Angeles, CA 90034",None,None,2020.1.11,Reported
2,686377,"S. Stone Ave, Tucson, AZ 85701",U-lock,"Object that bike was locked to was broken, removed, or otherwise compromised",2020.1.10,Reported
3,686413,"2121 SE Belmont Street, Portland, OR 97214-3464",Cable lock,"Lock was cut, and left at the scene",2020.1.10,Reported
4,686096,"Oakland, CA 94610",Not locked,Bike was not locked,2020.1.10,Reported
5,686250,"Seattle, WA 98104",None,None,2020.1.10,Reported
6,686166,"Bellevue Ave E, Seattle, WA 98104",None,None,2020.1.10,Reported
7,686051,"New Orleans, LA 70130",U-lock and cable,"Lock is missing, along with the bike",2020.1.10,Reported
8,686603,"South, UT 84095",None,None,2020.1.10,Reported
0,687015,"North Little Rock, AR 72114",Other,"Other situation, please describe below",2020.1.10,Reported
1,686019,"Portland, OR 97230",Other,None,2020.1.10,Reported
2,686126,"Northampton, MA 01060",Not locked,Bike was not locked,2020.1.10,Reported
3,774837,"116 Honors Way, Tallahassee, FL 32304",Cable lock,"Lock is missing, along with the bike",2020.1.10,Reported
4,702246,"310 SE 12 ave , Portland, OR 97214",Cable lock,"Lock is missing, along with the bike",2020.1.10,Reported
5,685946,"Long Beach, CA 90806",None,None,2020.1.10,Reported
6,685895,"Seattle, WA 98102",None,None,2020.1.10,None
0,38440,"Portland, OR 97214",Other,"Lock is missing, along with the bike",2020.1.9,Reported
1,685845,"Santa Clara, CA 95051",Cable lock,"Lock is missing, along with the bike",2020.1.9,Reported
2,685805,"University Dr and complex dr, Lexington, KY 40502",None,None,2020.1.9,None
3,678243,"Austin, TX 78759",Cable lock,"Lock was cut, and left at the scene",2020.1.9,Reported
4,686150,"Santa Barbara, CA 93101",None,None,2020.1.9,None
5,685743,"San Mateo, CA 94403",None,None,2020.1.9,None
6,767680,"3144 Herbert St, Norfolk, VA 23513",None,None,2020.1.9,None
7,410259,"Seattle, WA 98144",Cable lock,"Lock is missing, along with the bike",2020.1.9,None
0,394544,"Portland, OR 97214",U-lock,"Lock is missing, along with the bike",2020.1.9,Reported
1,686119,"Portland, OR 97201",Other,"Other situation, please describe below",2020.1.9,Reported
2,685942,"Portland, OR 97201",Other,"Other situation, please describe below",2020.1.9,Reported
3,829763,"Playa Vista, CA 90066",None,None,2020.1.9,None
4,659688,"Los Angeles, CA 90028",Heavy duty bicycle security chain,"Lock is missing, along with the bike",2020.1.9,Reported
5,398661,"Santa Monica, CA 90401",U-lock and cable,"Lock is missing, along with the bike",2020.1.9,None
6,66015,"San Francisco, CA 94110",None,None,2020.1.9,None
7,687691,"Seattle, WA 98109",None,None,2020.1.8,None
8,685565,"1600 SE Morrison St, Portland, OR 97214",U-lock and cable,"Lock was cut, and left at the scene",2020.1.8,Reported
9,685388,"Portland, OR 97212",None,None,2020.1.8,Reported
