,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,19908,"Seattle, WA 98107",None,None,2013.2.9,Reported
1,15450,"Los Angeles, CA 90007",None,None,2013.2.9,None
2,17068,"Portland, OR 97217",None,None,2013.2.9,Reported
3,15398,"San Francisco, CA 94111",None,None,2013.2.9,None
4,15606,"Oxnard, CA 93033",None,None,2013.2.9,Reported
5,15560,"Kailua, HI 96734",None,None,2013.2.9,Reported
6,15449,"Portland, OR 97213",None,None,2013.2.9,None
7,17054,"Seattle, WA 98107",None,None,2013.2.9,Reported
8,16650,"Los Altos, CA 94022",None,None,2013.2.9,None
9,13845,"San Francisco, CA 94110",None,None,2013.2.9,None
0,13909,"Campbell, CA 95008",None,None,2013.2.8,Reported
1,15584,"San Francisco, CA 94109",None,None,2013.2.8,Reported
2,19918,"Vancouver, WA 98664",None,None,2013.2.8,None
3,13820,"Berkeley, CA 94703",None,None,2013.2.8,Reported
4,15588,"San Francisco, CA 94109",None,None,2013.2.8,Reported
5,13867,"Salt Lake City, UT 84111",None,None,2013.2.8,None
6,15393,"La Jolla, CA 92037",None,None,2013.2.8,Reported
7,19970,"Seattle, WA 98121",None,None,2013.2.8,None
8,15385,"Portland, OR 97209",None,None,2013.2.8,Reported
9,13836,"San Francisco, CA 94114",None,None,2013.2.7,Reported
0,13989,"Seattle, WA 98199",None,None,2013.2.7,Reported
1,19900,"Gilbert, AZ 85234",None,None,2013.2.7,Reported
2,377821,"Olympia, WA 98516",Not locked,"Other situation, please describe below.",2013.2.7,Reported
3,13811,"San Diego, CA 92109",None,None,2013.2.7,None
4,16334,"Portland, OR 97211",None,None,2013.2.7,None
5,13798,"Lake Worth, FL 33461",None,None,2013.2.6,None
6,15409,"Portland, OR 97214",None,None,2013.2.6,Reported
7,15407,"Los Angeles, CA 90006",None,None,2013.2.6,Reported
8,14793,"Corte Madera, CA 94925",None,None,2013.2.6,Reported
9,22357,"Portland, OR 97213",None,None,2013.2.6,Reported
0,15313,"Ellensburg, WA 98926",None,None,2013.2.5,Reported
1,15319,"Kingston, WA 98346, needsync=1",None,None,2013.2.5,Reported
2,13826,"San Diego, CA 92103",None,None,2013.2.5,Reported
3,17031,"Portland, OR 97214",None,None,2013.2.5,None
