,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,561829,"Denver, CO 80210",U-lock,"Lock is missing, along with the bike.",2019.1.22,Reported
1,524406,"Denver, CO 80202",Cable lock,"Lock is missing, along with the bike.",2019.1.21,None
2,534646,"Bellingham, WA 98225",Heavy duty bicycle security chain,"Lock is missing, along with the bike.",2019.1.21,Reported
3,524375,"Denver, CO 80202",Cable lock,"Lock is missing, along with the bike.",2019.1.21,None
4,524132,"Santa Monica, CA 90405",Cable lock,"Lock was cut, and left at the scene.",2019.1.21,Reported
5,524325,"Oakland, CA 94609",None,None,2019.1.21,None
6,524302,"Denver, CO 80202",Not locked,Bike was not locked,2019.1.21,Reported
7,541714,"San Francisco, CA 94107",U-lock and cable,"Lock is missing, along with the bike.",2019.1.21,None
8,524891,"Fremont, CA 94538",None,Bike was not locked,2019.1.21,Reported
0,524099,"Tucson, AZ 85719",U-lock,"Other situation, please describe below.",2019.1.21,Reported
1,524130,"Santa Monica, CA 90405",Cable lock,"Lock was cut, and left at the scene.",2019.1.21,Reported
2,562347,"New Orleans, LA 70118",None,None,2019.1.21,Reported
3,524948,"San Francisco, CA 94123",Heavy duty bicycle security chain,"Other situation, please describe below.",2019.1.21,Reported
4,523916,"Kansas City, MO 64106",Cable lock,"Lock was cut, and left at the scene.",2019.1.21,Reported
5,602588,"Salt Lake City, UT 84108",Not locked,Bike was not locked,2019.1.21,Reported
6,560555,"Hollywood, FL 33019",None,"Other situation, please describe below.",2019.1.21,Reported
0,523609,"Tempe, AZ 85281",None,None,2019.1.20,None
1,523588,"Boulder, CO 80304",None,None,2019.1.20,None
2,523459,"San Francisco, CA 94110",None,None,2019.1.20,Reported
3,523453,"San Francisco, CA 94110",None,None,2019.1.20,Reported
4,522141,"Tucson, AZ 85711",Chain with padlock,"Lock is missing, along with the bike.",2019.1.20,Reported
5,523425,"San Francisco, CA 94110",None,None,2019.1.20,Reported
6,523457,"San Francisco, CA 94110",None,None,2019.1.20,Reported
7,523444,"San Francisco, CA 94110",None,None,2019.1.20,Reported
8,523448,"San Francisco, CA 94110",None,None,2019.1.20,Reported
9,523454,"San Francisco, CA 94110",None,None,2019.1.20,Reported
0,523452,"San Francisco, CA 94110",None,None,2019.1.20,Reported
1,523446,"San Francisco, CA 94110",None,None,2019.1.20,Reported
2,523447,"San Francisco, CA 94110",None,None,2019.1.20,Reported
3,523456,"San Francisco, CA 94110",None,None,2019.1.20,Reported
4,523449,"San Francisco, CA 94110",None,None,2019.1.20,Reported
5,523458,"San Francisco, CA 94110",None,None,2019.1.20,Reported
6,523455,"San Francisco, CA 94110",None,None,2019.1.20,Reported
7,523443,"San Francisco, CA 94110",None,None,2019.1.20,Reported
8,524600,"Washington, DC 20001",U-lock and cable,"Lock was cut, and left at the scene.",2019.1.20,Reported
9,640196,"24500 Hesperian Blvd, Hayward, CA 94545",U-lock and cable,"Lock was cut, and left at the scene",2019.1.20,Reported
0,524604,"Washington, DC 20001",U-lock and cable,"Lock was cut, and left at the scene.",2019.1.20,Reported
