,Bike ID,Location,Locking description,Locking circumvented,Date stolen,Police report
0,622462,"Highlands Ranch, CO 80129",Not locked,None,2019.6.10,Reported
1,631843,"228 Lexington Ave., Lexington, KY 40508",Not locked,Bike was not locked,2019.6.10,None
2,622152,"219 South Avev, Westfield, NJ 07090",Cable lock,"Lock is missing, along with the bike.",2019.6.10,None
3,621604,"Los Angeles, CA 90401",U-lock and cable,"Lock is missing, along with the bike.",2019.6.10,Reported
4,618709,"302 W Adams, Chicago, IL 60606",U-lock,"Lock is missing, along with the bike.",2019.6.10,Reported
5,623113,"703 Natoma St, Folsom, CA 95763",Cable lock,"Object that bike was locked to was broken, removed, or otherwise compromised.",2019.6.10,Reported
6,618663,"West Oakland Bart Station, Oakland, CA 94607",Other,"Other situation, please describe below.",2019.6.10,Reported
0,639697,"Clearwater, FL 33763",Cable lock,"Lock is missing, along with the bike",2019.6.10,Reported
1,621115,"West Linn, OR 97068",Not locked,Bike was not locked,2019.6.10,Reported
2,622442,"Bainbridge Island, WA 98110",U-lock,"Lock is missing, along with the bike.",2019.6.10,None
3,618565,"170 Jefferson st (Fisherman's Wharf parking), San Francisco, CA 94111",Chain with padlock,"Lock is missing, along with the bike.",2019.6.10,Reported
4,618656,"Lewiston, ID 83501",None,"Object that bike was locked to was broken, removed, or otherwise compromised.",2019.6.10,Reported
5,618553,"Portland, OR 97230",Two U-locks,"Lock is missing, along with the bike.",2019.6.10,Reported
6,621910,"Randolph and Franklin , Chicago, IL 60606",Chain with padlock,"Lock is missing, along with the bike.",2019.6.10,Reported
0,618507,"370 E 11th St, Denver, CO 80203",U-lock and cable,"Lock is missing, along with the bike.",2019.6.10,None
1,618804,"Boston, MA 02115",U-lock and cable,"Lock is missing, along with the bike.",2019.6.10,Reported
2,623576,"4041 roosevelt way ne. , Seattle, WA 98105",U-lock,"Lock is missing, along with the bike.",2019.6.10,Reported
3,618480,"New Orleans, LA 70125",Chain with padlock,"Lock is missing, along with the bike.",2019.6.10,Reported
4,441763,"Boise, ID 83705",Not locked,None,2019.6.10,Reported
5,618731,"Chicago, IL 60630",U-lock,"Lock is missing, along with the bike.",2019.6.10,None
